GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS,HOME_ORTG,AWAY_ORTG,HOME_DRTG,AWAY_DRTG,HOME_SRS,AWAY_SRS,HOME_EFG,AWAY_EFG,HOME_TS,AWAY_TS,MOV
2021-11-03,22100118,Sacramento Kings,New Orleans Pelicans,2021,112,99,1,108.3,106.0,111.3,112.8,-2.53,-5.4,0.513,0.491,0.548,0.53,13.0
2021-11-02,22100103,Detroit Pistons,Milwaukee Bucks,2021,89,117,0,100.5,110.7,110.3,106.6,-8.55,3.06,0.47,0.533,0.512,0.562,-28.0
2021-11-02,22100104,Dallas Mavericks,Miami Heat,2021,110,125,0,107.7,111.4,109.4,108.0,-1.62,3.29,0.516,0.53,0.543,0.567,-15.0
2021-11-02,22100105,Utah Jazz,Sacramento Kings,2021,119,113,1,116.5,108.3,106.8,111.3,8.04,-2.53,0.567,0.513,0.6,0.548,6.0
2021-11-02,22100106,Phoenix Suns,New Orleans Pelicans,2021,112,100,1,111.2,106.0,104.7,112.8,6.13,-5.4,0.544,0.491,0.576,0.53,12.0
2021-11-02,22100107,Los Angeles Lakers,Houston Rockets,2021,119,117,1,107.1,101.9,108.8,109.2,-2.84,-8.62,0.528,0.512,0.557,0.542,2.0
2021-11-01,22100094,Charlotte Hornets,Cleveland Cavaliers,2021,110,113,0,112.0,107.8,112.5,105.0,0.17,3.45,0.533,0.523,0.561,0.557,-3.0
2021-11-01,22100095,Indiana Pacers,San Antonio Spurs,2021,131,118,1,108.7,107.1,108.0,107.1,1.05,-0.48,0.522,0.522,0.551,0.542,13.0
2021-11-01,22100096,Philadelphia 76ers,Portland Trail Blazers,2021,113,103,1,110.1,111.7,109.0,114.0,0.81,-1.28,0.522,0.53,0.559,0.563,10.0
2021-11-01,22100097,Atlanta Hawks,Washington Wizards,2021,118,111,1,113.2,108.0,110.7,108.2,2.98,-0.24,0.531,0.521,0.564,0.556,7.0
2021-11-01,22100098,Boston Celtics,Chicago Bulls,2021,114,128,0,109.6,111.1,107.2,106.6,1.9,3.88,0.512,0.533,0.553,0.571,-14.0
